0,00,None
246,1A,Sov Mil Order of Malta
247,1S,Spratly Islands
260,3A,Monaco
4,3B6,Agalega & St. Brandon
165,3B8,Mauritius
207,3B9,Rodriguez Island
49,3C,Equatorial Guinea
195,3C0,Annobon Island
176,3D2,Fiji
489,3D2,Conway Reef
460,3D2,Rotuma Island
468,3DA,Kingdom of Eswatini
474,3V,Tunisia
293,3W,Vietnam
107,3X,Guinea
24,3Y,Bouvet
199,3Y,Peter 1 Island
18,4J,Azerbaijan
75,4L,Georgia
514,4O,Montenegro
315,4S,Sri Lanka
117,4U1I,ITU HQ
289,4U1U,United Nations HQ
117,4U1V,Vienna Intl Ctr
511,4W,Timor - Leste
336,4X,Israel
436,5A,Libya
215,5B,Cyprus
470,5H,Tanzania
450,5N,Nigeria
438,5R,Madagascar
444,5T,Mauritania
187,5U,Niger
483,5V,Togo
190,5W,Samoa
286,5X,Uganda
430,5Z,Kenya
456,6W,Senegal
82,6Y,Jamaica
154,7O,Yemen
432,7P,Lesotho
440,7Q,Malawi
400,7X,Algeria
62,8P,Barbados
159,8Q,Maldives
129,8R,Guyana
497,9A,Croatia
424,9G,Ghana
257,9H,Malta
482,9J,Zambia
348,9K,Kuwait
458,9L,Sierra Leone
299,9M2,West Malaysia
46,9M6,East Malaysia
369,9N,Nepal
414,9Q,Dem. Rep. of the Congo
404,9U,Burundi
381,9V,Singapore
454,9X,Rwanda
90,9Y,Trinidad & Tobago
402,A2,Botswana
160,A3,Tonga
370,A4,Oman
306,A5,Bhutan
391,A6,United Arab Emirates
376,A7,Qatar
304,A9,Bahrain
372,AP,Pakistan
506,BS7,Scarborough Reef
386,BV,Taiwan
505,BV9P,Pratas Island
318,BY,China
157,C2,Nauru
203,C3,Andorra
422,C5,The Gambia
60,C6,Bahamas
181,C9,Mozambique
112,CE,Chile
217,CE0X,San Felix & San Ambrosio
47,CE0Y,Easter Island
125,CE0Z,Juan Fernandez Islands
13,CE9,Antarctica
70,CM,Cuba
446,CN,Morocco
104,CP,Bolivia
272,CT,Portugal
256,CT3,Madeira Islands
149,CU,Azores
144,CX,Uruguay
211,CY0,Sable Island
252,CY9,St. Paul Island
401,D2,Angola
409,D4,Cape Verde
411,D6,Comoros
230,DL,Fed. Rep. of Germany
375,DU,Philippines
51,E3,Eritrea
510,E4,Palestine
191,E5,North Cook Islands
234,E5,South Cook Islands
188,E6,Niue
501,E7,Bosnia-Herzegovina
281,EA,Spain
21,EA6,Balearic Islands
29,EA8,Canary Islands
32,EA9,Ceuta & Melilla
245,EI,Ireland
14,EK,Armenia
434,EL,Liberia
330,EP,Iran
179,ER,Moldova
52,ES,Estonia
53,ET,Ethiopia
27,EU,Belarus
135,EX,Kyrgyzstan
262,EY,Tajikistan
280,EZ,Turkmenistan
227,F,France
79,FG,Guadeloupe
169,FH,Mayotte
516,FJ,St. Barthelemy
162,FK,New Caledonia
512,FK,Chesterfield Islands
84,FM,Martinique
175,FO,French Polynesia
508,FO,Austral Islands
36,FO,Clipperton Island
509,FO,Marquesas Islands
277,FP,St. Pierre & Miquelon
453,FR,Reunion Island
213,FS,St. Martin
99,FT,Glorioso Islands
124,FT,"Juan de Nova, Europa"
276,FT,Tromelin Island
41,FT,Crozet Island
131,FT,Kerguelen Islands
10,FT,Amsterdam & St. Paul Is.
298,FW,Wallis & Futuna Islands
63,FY,French Guiana
223,G,England
114,GD,Isle of Man
265,GI,Northern Ireland
122,GJ,Jersey
279,GM,Scotland
241,GM,Shetland Islands
106,GU,Guernsey
294,GW,Wales
185,H4,Solomon Islands
507,H40,Temotu Province
239,HA,Hungary
287,HB,Switzerland
251,HB0,Liechtenstein
120,HC,Ecuador
71,HC8,Galapagos Islands
78,HH,Haiti
72,HI,Dominican Republic
116,HK,Colombia
216,HK0,San Andres & Providencia
161,HK0,Malpelo Island
137,HL,Republic of Korea
88,HP,Panama
80,HR,Honduras
387,HS,Thailand
295,HV,Vatican City
378,HZ,Saudi Arabia
248,I,Italy
248,IG9,African Italy
225,IS,Sardinia
248,IT9,Sicily
382,J2,Djibouti
77,J3,Grenada
109,J5,Guinea-Bissau
97,J6,St. Lucia
95,J7,Dominica
98,J8,St. Vincent
339,JA,Japan
177,JD,Minami Torishima
192,JD,Ogasawara
363,JT,Mongolia
259,JW,Svalbard
259,JW,Bear Island
118,JX,Jan Mayen
342,JY,Jordan
291,K,United States
105,KG4,Guantanamo Bay
166,KH0,Mariana Islands
20,KH1,Baker & Howland Islands
103,KH2,Guam
123,KH3,Johnston Island
174,KH4,Midway Island
197,KH5,Palmyra & Jarvis Islands
110,KH6,Hawaii
138,KH7K,Kure Island
9,KH8,American Samoa
515,KH8,Swains Island
297,KH9,Wake Island
6,KL,Alaska
182,KP1,Navassa Island
285,KP2,US Virgin Islands
202,KP4,Puerto Rico
43,KP5,Desecheo Island
266,LA,Norway
100,LU,Argentina
254,LX,Luxembourg
146,LY,Lithuania
212,LZ,Bulgaria
136,OA,Peru
354,OD,Lebanon
206,OE,Austria
224,OH,Finland
5,OH0,Aland Islands
167,OJ0,Market Reef
503,OK,Czech Republic
504,OM,Slovak Republic
209,ON,Belgium
237,OX,Greenland
222,OY,Faroe Islands
221,OZ,Denmark
163,P2,Papua New Guinea
91,P4,Aruba
344,P5,DPR of Korea
263,PA,Netherlands
517,PJ2,Curacao
520,PJ4,Bonaire
519,PJ5,Saba & St. Eustatius
518,PJ7,Sint Maarten
108,PY,Brazil
56,PY0F,Fernando de Noronha
253,PY0S,St. Peter & St. Paul
273,PY0T,Trindade & Martim Vaz
140,PZ,Suriname
61,R1FJ,Franz Josef Land
302,S0,Western Sahara
305,S2,Bangladesh
499,S5,Slovenia
379,S7,Seychelles
219,S9,Sao Tome & Principe
284,SM,Sweden
269,SP,Poland
466,ST,Sudan
478,SU,Egypt
236,SV,Greece
180,SV,Mount Athos
45,SV5,Dodecanese
40,SV9,Crete
282,T2,Tuvalu
301,T30,Western Kiribati
31,T31,Central Kiribati
48,T32,Eastern Kiribati
490,T33,Banaba Island
232,T5,Somalia
278,T7,San Marino
22,T8,Palau
390,TA,Asiatic Turkey
390,TA1,European Turkey
242,TF,Iceland
76,TG,Guatemala
308,TI,Costa Rica
37,TI9,Cocos Island
406,TJ,Cameroon
214,TK,Corsica
408,TL,Central African Republic
412,TN,Republic of the Congo
420,TR,Gabon
410,TT,Chad
428,TU,Cote d'Ivoire
416,TY,Benin
442,TZ,Mali
54,UA,European Russia
126,UA2,Kaliningrad
15,UA9,Asiatic Russia
292,UK,Uzbekistan
130,UN,Kazakhstan
288,UR,Ukraine
94,V2,Antigua & Barbuda
66,V3,Belize
249,V4,St. Kitts & Nevis
464,V5,Namibia
173,V6,Micronesia
168,V7,Marshall Islands
345,V8,Brunei Darussalam
1,VE,Canada
150,VK,Australia
111,VK0H,Heard Island
153,VK0M,Macquarie Island
38,VK9C,Cocos (Keeling) Islands
147,VK9L,Lord Howe Island
171,VK9M,Mellish Reef
189,VK9N,Norfolk Island
303,VK9W,Willis Island
35,VK9X,Christmas Island
12,VP2E,Anguilla
96,VP2M,Montserrat
65,VP2V,British Virgin Islands
89,VP5,Turks & Caicos Islands
172,VP6,Pitcairn Island
513,VP6,Ducie Island
141,VP8,Falkland Islands
235,VP8,South Georgia Island
241,VP8,South Shetland Islands
238,VP8,South Orkney Islands
240,VP8,South Sandwich Islands
64,VP9,Bermuda
33,VQ9,Chagos Islands
321,VR,Hong Kong
324,VU,India
11,VU4,Andaman & Nicobar Is.
142,VU7,Lakshadweep Islands
50,XE,Mexico
204,XF4,Revillagigedo
480,XT,Burkina Faso
312,XU,Cambodia
143,XW,Laos
152,XX9,Macao
309,XZ,Myanmar
3,YA,Afghanistan
327,YB,Indonesia
333,YI,Iraq
158,YJ,Vanuatu
384,YK,Syria
145,YL,Latvia
86,YN,Nicaragua
275,YO,Romania
74,YS,El Salvador
296,YU,Serbia
148,YV,Venezuela
17,YV0,Aves Island
452,Z2,Zimbabwe
502,Z3,North Macedonia
522,Z6,Republic of Kosovo
521,Z8,Republic of South Sudan
7,ZA,Albania
233,ZB,Gibraltar
283,ZC4,UK Base Areas on Cyprus
250,ZD7,St. Helena
205,ZD8,Ascension Island
274,ZD9,Tristan da Cunha & Gough
69,ZF,Cayman Islands
270,ZK3,Tokelau Islands
170,ZL,New Zealand
34,ZL7,Chatham Islands
133,ZL8,Kermadec Islands
16,ZL9,N.Z. Subantarctic Is.
132,ZP,Paraguay
462,ZS,South Africa
201,ZS8,Pr. Edward & Marion Is.
